objID,ra,dec,type,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petror50_r,petror90_r
587722983356760066,193.802728,0.11665,GALAXY,15.407,13.928,13.467,13.277,13.781,20.879,52.062
587726033328341046,193.814721,2.896639,GALAXY,15.255,13.624,12.905,12.518,12.273,7.279,20.32
587722982819889443,193.9146,-0.263323,GALAXY,22.03,22.827,22.258,22.058,22.258,1.024,1.692
587724650337009797,194.300531,-1.706682,GALAXY,15.31,13.963,13.451,13.167,13.165,12.337,29.143
587726015612190823,194.593108,2.79266,GALAXY,16.113,15.098,14.714,14.537,15.571,12.601,27.497
587724648727249016,196.132638,-2.988038,GALAXY,17.356,16.165,15.683,15.538,15.883,7.702,16.242
588848898846359573,196.911222,-0.942461,GALAXY,15.413,14.151,13.707,13.496,13.511,10.238,22.557
587726033866981394,197.846921,3.411447,GALAXY,16.794,15.803,15.399,15.204,15.139,5.636,13.792
588010879840682081,198.025197,5.476551,GALAXY,24.262,22.338,21.85,21.804,19.912,0.853,1.533
587729160578596942,198.337442,6.061269,GALAXY,15.867,14.138,13.527,13.218,13.088,11.792,24.908
588848898847408195,199.427914,-1.000892,GALAXY,21.953,20.932,20.548,20.447,20.469,0.856,1.601
587724650876174378,199.541986,-1.243671,GALAXY,16.051,14.134,13.578,13.343,13.536,16.537,29.037
587722982823624833,202.355341,-0.399086,GALAXY,24.809,22.78,23.087,22.965,22.625,0.597,1.081
587726014542184502,203.128186,1.847701,GALAXY,15.495,13.863,13.182,12.831,12.761,10.049,23.355
587726014005641268,203.852316,1.410596,GALAXY,15.512,14.043,13.362,12.994,13.047,11.739,29.345
588010878234066958,207.066824,3.950865,GALAXY,15.563,13.647,12.802,12.422,12.715,26.844,52.276
587722981752438860,208.226914,-1.114633,GALAXY,32.806,14.262,13.346,13.086,13.24,26.148,50.118
587726032261742732,210.190708,2.022034,GALAXY,16.139,14.805,14.371,14.132,14.151,11.319,27.362
587729158438060206,214.236913,3.834067,STAR,23.43,22.1,22.295,24.517,22.78,0.813,1.483
588848899929014527,217.394166,-0.018234,GALAXY,16.144,14.593,14.232,14.13,14.533,12.584,28.38
588848900466213115,218.118772,0.294012,GALAXY,15.777,14.274,13.745,13.447,13.486,12.975,30.761
587726014548869465,218.472158,1.484719,GALAXY,24.473,22.683,22.627,25.128,22.954,1.096,1.691
587726016159350922,218.188098,2.915015,GALAXY,15.786,14.779,14.52,14.486,14.478,9.328,19.614
587722982831095934,219.472992,-0.39902,STAR,19.412,19.747,19.191,19.971,20.005,0.602,1.177
587726032803004462,220.242984,2.186262,STAR,24.635,21.587,21.196,20.653,20.702,0.772,1.376
587726032266526801,221.101864,1.679772,GALAXY,14.869,12.768,12.066,11.692,11.507,16.211,37.152
587726015088623663,225.001661,1.891329,GALAXY,14.399,12.464,11.696,11.273,11.094,18.556,43.56
587726033342431349,226.123884,2.333028,GALAXY,16.916,15.455,14.995,14.886,14.995,7.788,17.083
588848898859139309,226.125642,-0.851322,GALAXY,16.723,15.147,14.656,14.627,14.969,14.974,33.491
587726032269017171,226.782027,1.54424,GALAXY,15.176,12.695,11.802,11.316,11.125,13.63,50.436
588848901010686354,235.498383,0.712885,GALAXY,16.27,14.325,13.682,13.332,13.39,21.584,53.895
587726100419641399,236.251464,2.467996,GALAXY,16.976,15.094,15.003,14.324,14.135,7.813,18.506
587722953840787640,236.309919,0.772177,GALAXY,17.655,16.362,15.599,16.572,15.022,13.573,33.687
587722952769733125,242.43316,-0.115139,GALAXY,18.225,16.647,16.518,16.465,17.993,9.477,19.898
587727215220425129,309.097805,-4.618743,GALAXY,15.839,13.704,12.923,12.562,12.591,15.493,32.892
587731186738200620,354.131045,0.297275,GALAXY,14.781,12.908,12.226,11.868,11.818,12.556,34.278
587731186738331786,354.350001,0.39167,GALAXY,29.661,15.56,15.08,14.809,15.293,16.615,37.187
587731187812401254,355.086363,1.24577,GALAXY,16.198,14.916,14.35,14.08,14.108,9.502,22.556
