1425   HVC  10 39.8  -78 25    206    18   -32     35    0.3    0.3   60       0.25    0.09   0.06       13.3
1434   HVC  10 59.5  -78 14    175   -13   -64     38    0.3    0.2   20       0.63    0.14   0.09       32.8
1449  :HVC  11 19.1  -78 44    179    -7   -58     33    0.3    0.2  -60       0.65    0.43   0.27       50.4
1505   HVC  13 00.0  -78 40    182     6   -50     56    0.2    0.2  -50       0.43    0.10   0.08       18.1
1527  CHVC  13 49.6  -78 37    185    14   -42     37    0.6    0.2   60       1.16    0.31   0.23       69.5
1582   HVC  15 30.8  -78 14    275   117    60     36    0.3    0.2  -80       0.39    0.09   0.06       14.0
1619   HVC  20 41.4  -78 41    215    82    39     43    0.5    0.3  -20       0.31    0.06   0.05       11.9
1341  :HVC  05 51.4  -77 22    108   -73  -106     43    0.4    0.2  -10       1.88    0.61   0.51      158.7
1357   HVC  08 30.3  -77 26    340   148   106     29    0.4    0.2  -70       0.66    0.10   0.08       21.5
1362  :HVC  08 43.8  -77 36    105   -87  -130     41    0.5    0.2  -10       1.10    0.18   0.13       45.4
1446   HVC  11 23.2  -77 46    196     9   -44     36    0.2    0.2   90       0.15    0.12   0.07       12.2
1473   HVC  12 04.9  -77 42    126   -57  -111     34    0.4    0.3   50       2.66    0.47   0.30      205.0
1490   HVC  01 02.2  -77 34    236    92    63     31    0.6    0.4  -30       0.97    0.20   0.09       36.7
1492   HVC  12 38.0  -77 52    152   -28   -84     31    0.3    0.2  -40       0.31    0.07   0.04       11.8
1535   HVC  13 57.3  -77 14    155   -16   -73     38    0.3    0.3  -60       0.92    0.10   0.06       40.4
1585   HVC  15 27.8  -77 34    108   -51  -108     37    0.2    0.2   70       0.63    0.12   0.10       29.1
1601   HVC  15 47.0  -77 03    219    63     6     62    0.3    0.2   40       0.20    0.06   0.09       20.4
1338   HVC  06 41.4  -76 40    326   139   104     29    0.3    0.3  -40       0.56    0.20   0.11       25.0
1340   HVC  05 20.6  -76 37     97   -81  -112     35    0.3    0.2   80       0.80    0.23   0.14       42.0
1375  GLXY  09 26.6  -76 41    458   264   218    144    0.1    0.1   20       0.40    0.55   1.27      173.8  N
1392   HVC  10 02.2  -76 31     99   -95  -143     34    0.4    0.3  -20       2.55    1.06   0.66      365.9
1456   HVC  11 41.1  -76 53    106   -80  -134     28    0.4    0.3   10       0.54    0.18   0.09       21.8
1457   HVC  11 45.2  -76 03    168   -19   -74     28    0.3    0.2  -40       0.33    0.08   0.06       15.1
1484   HVC  12 29.2  -76 16    273    91    34     31    0.4    0.2   30      12.68    2.83   1.50     3085.1
1508   HVC  00 39.7  -76 59    221    82    52     34    0.3    0.1    0       0.36    0.20   0.14       20.9
1574   HVC  15 01.0  -76 26    133   -28   -87     40    0.5    0.2   30       1.59    0.18   0.13       90.7
1588   HVC  15 24.8  -76 54    202    44   -14     46    0.3    0.2   80       0.18    0.07   0.10       24.5
1650   HVC  19 02.6  -76 42    137     6   -43     41    0.6    0.5   50       1.49    0.09   0.08       76.9
1654   HVC  19 28.2  -76 28    127    -2   -49     62    1.7    0.5  -40       0.71    0.06   0.06       66.8
1331   HVC  07 24.9  -75 33    313   122    84     70    1.2    0.5   20       1.19    0.18   0.27       38.6
1342   HVC  08 21.8  -75 56    201     6   -35     44    0.8    0.6  -30       3.86    0.10   0.09      179.7
1404   HVC  10 38.5  -75 12     89  -105  -156     30    0.3    0.2   10       2.40    0.75   0.42      200.2
1440   HVC  11 31.0  -75 25    245    56     2     41    0.3    0.3  -10       0.33    0.08   0.06       14.7
1528   HVC  13 37.6  -75 29    292   119    59     41    0.5    0.5   40      11.54    1.64   1.16     1993.0
1542   HVC  23 58.7  -75 52    268   136   106     36    0.4    0.2   40       0.74    0.13   0.09       40.3
1552   HVC  14 18.9  -75 30    294   127    67     41    0.3    0.2  -60       0.07    0.04   0.03        4.1
1626   HVC  16 30.6  -75 59    196    49    -9     69    0.9    0.4  -30       0.79    0.11   0.11       52.9
1633  :HVC  16 45.6  -75 31    160    16   -41     36    0.4    0.2   30       0.89    0.26   0.18       71.3
1660   HVC  18 02.4  -75 22    201    67    14     48    0.7    0.4   30       0.36    0.05   0.04       26.2
1318   HVC  06 40.9  -74 58    378   189   155     44    0.2    0.2   20       0.12    0.05   0.04        5.1
1373   HVC  10 01.4  -74 08    167   -30   -79     37    0.3    0.3  -20       1.79    0.09   0.07       57.3
1447   HVC  11 40.6  -74 43    160   -30   -85     31    0.3    0.2  -70       0.75    0.19   0.11       32.1
1500   HVC  12 54.3  -74 33    325   145    86     31    0.2    0.2  -50       0.33    0.15   0.08        9.6
1579  CHVC  14 48.1  -74 22    271   109    48     41    0.2    0.2   30       0.14    0.08   0.06        6.6
1610   HVC  15 34.0  -74 35    111   -44  -104     32    0.2    0.2  -10       2.01    0.42   0.27      172.4
1672   HVC  19 05.3  -74 31    130     5   -44     33    0.3    0.2    0       0.32    0.08   0.05       18.9
1323   HVC  04 17.8  -73 05    136   -33   -57     33    0.5    0.2  -80       1.13    0.33   0.20       68.7
1332   HVC  08 43.7  -73 04    342   142   100     38    0.2    0.1  -60       0.98    0.25   0.19       62.0
