ngc4064  181.04666  18.44333
ngc4189  183.44708  13.42472
ngc4192  183.45074  14.89513
ngc4216  183.97398  13.14500
ngc4222  184.09383  13.30706
ngc4254  184.70557  14.41859
ngc4293  185.30376  18.38250
ngc4294  185.32425  11.51124
ngc4298  185.38681  14.60618
ngc4299  185.41905  11.50308
ngc4302  185.42715  14.59781
ngc4321  185.72871  15.82242
ngc4330  185.82167  11.36806
ngc4351  186.00665  12.20500
ngc4380  186.34250  10.01694
ngc4383  186.35625  16.47000
ngc4388  186.44458  12.66222
ngc4394  186.48167  18.21389
ngc4396  186.49501  15.67139
ngc4405  186.52959  16.18083
ngc4402  186.53281  13.11202
ic03355  186.71292  13.17583
ngc4419  186.73500  15.04722
ngc4424  186.79832   9.42056
ngc4450  187.12332  17.08500
ic03392  187.18040  14.99944
ngc4457  187.24582   3.57056
ic03418  187.43251  11.40250
ngc4501  187.99602  14.41943
ngc4522  188.41583   9.17528
ngc4532  188.58054   6.46770
ngc4535  188.58481   8.20037
ngc4533  188.59175   2.32536
ngc4536  188.61282   2.18808
holmvii  188.68875   6.30056
ngc4548  188.86015  14.49650
ngc4561  189.03577  19.32377
ngc4567  189.13651  11.25797
ngc4568  189.14310  11.23868
ngc4569  189.20760  13.16278
ngc4579  189.43083  11.81806
ngc4580  189.45168   5.36944
ngc4606  190.24036  11.91125
ngc4607  190.30170  11.88600
ngc4651  190.92749  16.39333
ngc4654  190.98561  13.12592
ngc4689  191.93971  13.76292
vcc2062  191.99959  10.97583
ngc4694  192.06332  10.98278
ngc4698  192.09583   8.48722
ngc4713  192.49176   5.31068
ngc4772  193.37125   2.16833
ngc4808  193.95642   4.30393
